stock_code,corp_name,market,corp_code,modify_date
100250,진양홀딩스,KOSPI,00646732,20230516
100590,머큐리,KOSDAQ,00364740,20230220
100660,서암기계공업,KOSDAQ,00166528,20221128
100700,세운메디칼,KOSDAQ,00362201,20221205
100790,미래에셋벤처투자,KOSDAQ,00340096,20221206
100840,SNT에너지,KOSPI,00648721,20220809
101000,상상인인더스트리,KOSDAQ,00618410,20221122
101140,인바이오젠,KOSPI,00652423,20221129
101160,월덱스,KOSDAQ,00580065,20221213
101170,우림피티에스,KOSDAQ,00567222,20221124
101240,씨큐브,KOSDAQ,00520610,20230823
101330,모베이스,KOSDAQ,00498001,20230330
101360,에코앤드림,KOSDAQ,00619640,20230223
101390,아이엠,KOSDAQ,00609634,20230725
101400,엔시트론,KOSDAQ,00641393,20221202
101490,에스앤에스텍,KOSDAQ,00411048,20230217
101530,해태제과식품,KOSPI,00428321,20220331
101670,하이드로리튬,KOSDAQ,00527491,20230330
